X,Y,fid,Code établissement,Appellation officielle,Nom �cole,Type �cole,Dénomination principale,Patronyme uai,Secteur Public/Privé,Adresse,Lieu dit,Boite postale,Code postal,Localite d'acheminement,Commune,Coordonnee X,Coordonnee Y,EPSG,Latitude,Longitude,Qualité d'appariement,Localisation,Code nature,Nature,Code état établissement,Etat établissement,Code département,Code région,Code académie,Code commune,Département,Région,Académie,Position,secteur_prive_code_type_contrat,secteur_prive_libelle_type_contrat,code_ministere,libelle_ministere,date_ouverture,field_38,auxiliary_storage_labeling_positionx,auxiliary_storage_labeling_positiony,icon_url
2.38383016301545,48.9485978562011,"1",0930301X,Ecole élémentaire Elsa Triolet,Elsa Triolet,Elementaire,ECOLE ELEMENTAIRE PUBLIQUE,ELSA TRIOLET,Public,Place du 8 Mai 1945,,,"93240",STAINS,Stains,654869.6,6872246.5,EPSG:2154,48.9485978562011,2.38383016301545,Parfaite,Numéro de rue,"151",ECOLE DE NIVEAU ELEMENTAIRE,"1",OUVERT,"93","11","24","93072",Seine-Saint-Denis,Ile-de-France,Créteil,48.9485978562,2.38383016302,"99",SANS OBJET,"6",MINISTERE DE L'EDUCATION NATIONALE,01/05/1965,2.3826296301656,48.9489746419561,./0.png
2.38682941563511,48.954305612511,"2",0930426H,Ecole maternelle Anatole France,Anatole France,Maternelle,ECOLE MATERNELLE PUBLIQUE,ANATOLE FRANCE,Public,13 ter avenue Louis Bordes,,,"93240",STAINS,Stains,655094.2,6872879.5,EPSG:2154,48.954305612511,2.38682941563511,Parfaite,Numéro de rue,"101",ECOLE MATERNELLE,"1",OUVERT,"93","11","24","93072",Seine-Saint-Denis,Ile-de-France,Créteil,48.9543056125,2.38682941564,"99",SANS OBJET,"6",MINISTERE DE L'EDUCATION NATIONALE,01/05/1965,2.3872224098939,48.9546203608417,./1.png
2.3769196064159,48.9551421006047,"3",0930543K,Ecole élémentaire Romain Rolland,Romain Rolland,Elementaire,ECOLE ELEMENTAIRE PUBLIQUE,ROMAIN ROLLAND,Public,55 rue Jean Durand,,,"93240",STAINS,Stains,654369.2,6872978.2,EPSG:2154,48.9551421006047,2.3769196064159,Parfaite,Numéro de rue,"151",ECOLE DE NIVEAU ELEMENTAIRE,"1",OUVERT,"93","11","24","93072",Seine-Saint-Denis,Ile-de-France,Créteil,48.9551421006,2.37691960642,"99",SANS OBJET,"6",MINISTERE DE L'EDUCATION NATIONALE,30/09/1966,2.371607165795,48.9545730985973,./0.png
2.38071997590022,48.9643019040481,"4",0930202P,Ecole élémentaire Jean Jaurès,Jean Jaures,Elementaire,ECOLE ELEMENTAIRE PUBLIQUE,JEAN JAURES,Public,27 rue Jean Jaurès,,,"93240",STAINS,Stains,654655.5,6873994.6,EPSG:2154,48.9643019040481,2.38071997590022,Parfaite,Numéro de rue,"151",ECOLE DE NIVEAU ELEMENTAIRE,"1",OUVERT,"93","11","24","93072",Seine-Saint-Denis,Ile-de-France,Créteil,48.964301904,2.3807199759,"99",SANS OBJET,"6",MINISTERE DE L'EDUCATION NATIONALE,01/05/1965,2.38151783054295,48.9642551015698,./0.png
2.38682941563511,48.954305612511,"5",0930282B,Ecole élémentaire Anatole France,Anatole France,Elementaire,ECOLE ELEMENTAIRE PUBLIQUE,ANATOLE FRANCE,Public,13 ter avenue Louis Bordes,,,"93240",STAINS,Stains,655094.2,6872879.5,EPSG:2154,48.954305612511,2.38682941563511,Parfaite,Numéro de rue,"151",ECOLE DE NIVEAU ELEMENTAIRE,"1",OUVERT,"93","11","24","93072",Seine-Saint-Denis,Ile-de-France,Créteil,48.9543056125,2.38682941564,"99",SANS OBJET,"6",MINISTERE DE L'EDUCATION NATIONALE,01/05/1965,2.38565016513422,48.9552539147146,./0.png
2.38071997590022,48.9643019040481,"6",0930472H,Ecole maternelle Jean Jaurès,Jean Jaures,Maternelle,ECOLE MATERNELLE PUBLIQUE,JEAN JAURES,Public,27 rue Jean Jaurès,,,"93240",STAINS,Stains,654655.5,6873994.6,EPSG:2154,48.9643019040481,2.38071997590022,Parfaite,Numéro de rue,"101",ECOLE MATERNELLE,"1",OUVERT,"93","11","24","93072",Seine-Saint-Denis,Ile-de-France,Créteil,48.964301904,2.3807199759,"99",SANS OBJET,"6",MINISTERE DE L'EDUCATION NATIONALE,01/05/1965,2.38059731065201,48.9632766759961,./1.png
2.3821193884869,48.9549190131538,"7",0930499M,Ecole maternelle Joliot-Curie,Joliot-Curie,Maternelle,ECOLE MATERNELLE PUBLIQUE,JOLIOT-CURIE,Public,8 avenue Paul Vaillant-Couturier,,,"93240",STAINS,Stains,654749.8,6872950.4,EPSG:2154,48.9549190131538,2.3821193884869,Parfaite,Numéro de rue,"101",ECOLE MATERNELLE,"1",OUVERT,"93","11","24","93072",Seine-Saint-Denis,Ile-de-France,Créteil,48.9549190132,2.38211938849,"99",SANS OBJET,"6",MINISTERE DE L'EDUCATION NATIONALE,01/05/1965,2.38028850249998,48.9538390434216,./1.png
2.3769196064159,48.9551421006047,"8",0930544L,Ecole maternelle Romain Rolland,Romain Rolland,Maternelle,ECOLE MATERNELLE PUBLIQUE,ROMAIN ROLLAND,Public,55 rue Jean Durand,,,"93240",STAINS,Stains,654369.2,6872978.2,EPSG:2154,48.9551421006047,2.3769196064159,Parfaite,Numéro de rue,"101",ECOLE MATERNELLE,"1",OUVERT,"93","11","24","93072",Seine-Saint-Denis,Ile-de-France,Créteil,48.9551421006,2.37691960642,"99",SANS OBJET,"6",MINISTERE DE L'EDUCATION NATIONALE,30/09/1966,2.37198916162445,48.955251577284,./1.png
2.3769393457166,48.9500757169896,"9",0931072K,Ecole maternelle Victor Hugo,Victor Hugo,Maternelle,ECOLE MATERNELLE PUBLIQUE,VICTOR HUGO,Public,Allée Max Jacob,,,"93240",STAINS,Stains,654366.2,6872414.8,EPSG:2154,48.9500757169896,2.3769393457166,Parfaite,Rue,"101",ECOLE MATERNELLE,"1",OUVERT,"93","11","24","93072",Seine-Saint-Denis,Ile-de-France,Créteil,48.950075717,2.37693934572,"99",SANS OBJET,"6",MINISTERE DE L'EDUCATION NATIONALE,18/03/1969,2.37160878959775,48.9498995999574,./1.png
2.38274017608363,48.9547324652435,"10",0931316A,Ecole élémentaire Joliot-Curie,Joliot-Curie,Elementaire,ECOLE ELEMENTAIRE PUBLIQUE,JOLIOT-CURIE,Public,1 avenue Paul Vaillant-Couturier,,,"93240",STAINS,Stains,654795.1,6872929.3,EPSG:2154,48.9547324652435,2.38274017608363,Parfaite,Numéro de rue,"151",ECOLE DE NIVEAU ELEMENTAIRE,"1",OUVERT,"93","11","24","93072",Seine-Saint-Denis,Ile-de-France,Créteil,48.9547324652,2.38274017608,"99",SANS OBJET,"6",MINISTERE DE L'EDUCATION NATIONALE,08/05/1970,2.38030652625246,48.9532160258051,./0.png
